#SampleID	V_D0_P1	V_D0_P2	V_D0_P3	V_W10_P1	V_W10_P2	V_W10_P3	V_W17_P1	V_W17_P2	V_W17_P3	Taxa
#RatonA	V_D0_R1	V_D0_R2	V_D0_R3	V_W!0_R1	V_W10_R2	V_W10_R3	V_W!7_R1	V_W17_R2	V_W17_R3	Taxa
#RatonB	V_D0_R6	V_D0_R5	V_D0_R4	V_W10_R6	V_W10_R5	V_W10_R4	V_W17_R6	V_W17_R5	V_W17_R4	Taxa
scaffold_1358	0	0	0	0	223.4987303	964.8334369	222.7078573	113.909961	3.409486688	Caudovirales
scaffold_4462	0	2.745998011	0	0	91.03852167	404.5603541	88.78880028	82.42913746	23.26236935	Caudovirales
scaffold_5867	0	6.567445194	0	0	104.3297182	541.6253234	60.32700478	51.63217132	46.3627235	Caudovirales
scaffold_5284	0	6.12406081	7.218551219	0	164.9634925	353.0508572	49.50367863	98.48118356	34.58612957	Caudovirales
scaffold_2728	0	5.92971726	13.97894929	7.982924827	95.56404241	452.6307383	46.48020155	101.7130024	39.06998506	Caudovirales
scaffold_3894	0	22.41013631	0	0	58.4742482	378.8095062	47.57520077	67.62648768	21.09384339	Caudovirales
scaffold_2625	16.09571555	8.686248206	6.825768012	31.1837989	183.9850558	68.00450396	8.510915225	605.6413073	10.90139788	Caudovirales
scaffold_5568	12.43816359	3.169747235	33.62619204	377.6556236	175.1452485	487.294085	83.85566849	58.90188946	107.4084258	Caudovirales
scaffold_1261	3.381268884	8.042384857	43.33585186	13.92058143	109.5089562	434.2042698	212.7613051	8.211416076	74.61860435	Caudovirales
scaffold_4404	18.68980602	24.49501004	12.8323339	54.96097459	187.9831201	87.16866268	8.000191758	466.8502556	30.7416786	Caudovirales
scaffold_3055	18.7746604	10.63231766	32.58455837	326.3554309	123.3732389	354.1494352	112.5111927	59.27257473	57.0445316	Caudovirales
scaffold_1762	12.7382303	47.61117345	20.40735594	17.48096925	197.3076286	36.96665917	4.240921464	521.7671216	20.37029995	Caudovirales
scaffold_2998	21.59124768	25.15347806	34.59038393	25.39728907	350.36112	500.1477764	24.64575203	11.98499984	38.47358264	Caudovirales
scaffold_2260	0	83.25956186	0	0	651.7417233	49.99892466	0	59.50663165	9.796148353	Caudovirales
scaffold_2092	59.2209136	8.157775355	19.2314613	32.94739254	545.4197252	653.1862308	43.16279218	34.98277356	27.64301834	Caudovirales
scaffold_5185	31.18735776	15.13866735	46.39503876	354.6214066	138.0210473	368.4906809	95.67344017	119.0177067	51.29811019	Caudovirales
scaffold_3397	70.00688822	22.65471373	8.011067318	329.389983	25.03584778	21.76732713	163.1510779	71.24304967	51.17773246	Caudovirales
scaffold_2779	65.76536274	35.02021597	0	226.3018536	22.11487532	6.409232734	186.7625458	61.50075873	50.85758748	Caudovirales
scaffold_5504	67.86873255	34.591397	0	241.3116704	52.12792039	10.07165144	247.2660478	65.17854497	8.879896227	Caudovirales
scaffold_4843	31.27142072	20.28529491	54.65297613	397.9344251	192.1490582	348.0485465	178.8825038	74.56191153	73.64754413	Caudovirales
scaffold_5652	14.13883193	86.47551176	7.550399308	12.93536492	132.7285556	51.28904963	4.707221833	36.6252507	18.08805402	Caudovirales
scaffold_3094	50.39879272	2.140608522	60.55625926	8.6454292	17.74198621	65.13075703	69.21420256	73.43612192	18.13389008	Caudovirales
scaffold_3968	32.27866498	65.80727667	17.90038488	61.33397749	59.43786877	48.63815493	24.17960578	92.25756619	203.6938443	Caudovirales
scaffold_5434	35.21465299	62.42864761	18.39646945	12.60675288	107.7972488	9.997218911	18.35055532	20.07833461	17.62854225	Caudovirales
scaffold_2966	30.60730006	24.95993021	61.29325385	550.240723	310.3127449	736.1217831	163.5502421	98.11542806	64.60814617	Caudovirales
scaffold_3017	28.94093442	53.73448025	38.49950255	59.57447455	101.8813411	141.7285805	55.7468928	234.946358	160.6604985	Caudovirales
scaffold_1645	86.48976678	19.13645135	17.7229741	179.4180116	66.08686509	271.4253023	62.27738271	27.35411371	9.649523155	Caudovirales
scaffold_4284	70.63836314	29.33579801	23.57637511	150.7934806	44.20793248	42.70714077	90.15054284	118.175693	225.9222217	Caudovirales
scaffold_5935	25.94732365	28.1028177	70.14779005	40.05912913	63.94001194	42.35612318	48.59216276	165.4094156	191.3891332	Caudovirales
scaffold_4092	80.01170405	29.7761926	15.25990665	115.0305823	46.49737267	124.3906836	45.66546238	107.3323319	14.62290957	Caudovirales
